family;ratio_gapless;ratio_homstrad
AAA;0.53;0.799
aabp;0.793;0.857
aadh;0.581;0.921
aat;0.709;0.87
ABC_tran;0.447;0.723
ace;0.768;0.913
Acetyltransf;0.502;0.77
acid_phosphat;0.705;0.85
ACPS;0.795;0.887
actin;0.667;0.811
adeno_fiber;0.904;0.927
Adenylsucc_synt;0.952;0.995
ADF;0.744;0.954
adh;0.987;0.992
adk;0.558;0.459
AhpC-TSA;0.727;0.958
ALBUMIN;0.825;0.954
aldedh;0.799;0.941
aldose;0.923;0.988
aldosered;0.661;0.917
Ald_Xan_dh_1;0.707;0.972
Ald_Xan_dh_2;0.751;0.95
alpha-amylase;0.266;0.301
alpha-amylase_C;0.376;0.386
alpha-amylase_NC;0.28;0.273
ANK;0.876;0.975
annexin;0.969;1.0
Antifreeze;0.865;1.0
apbact;0.688;0.814
AP_endonuc_2;0.74;0.917
ARM;0.781;0.804
asp;0.764;0.921
asprs;0.749;0.885
Asp_Glu_race_D;0.787;0.875
ATP-gua_Ptrans;0.869;0.929
ATP-synt;0.794;0.931
B;0.714;0.9
Bacterial_PQQ;0.86;0.921
Bac_DNA_binding;0.657;0.985
bac_luciferase;0.636;0.878
Bac_rhodopsin;0.867;0.99
Band_41_M;0.895;0.951
Band_41_N;0.876;0.936
Band_41_NME;0.878;0.97
Bcl-2;0.675;0.942
Binary_toxA;0.821;0.875
biotin_lipoyl;0.619;0.957
BIR;0.461;0.961
blm;0.909;0.976
blmb;0.493;0.772
bromodomain;0.71;1.0
bv;0.423;0.411
B_lectin;0.982;0.991
C1;0.697;1.0
C2;0.831;0.941
cah;0.761;0.905
cat3;0.794;0.885
CBD_3;0.773;0.895
cbm12;0.606;0.9
CBM_20;0.819;0.884
cbp;0.18;0.76
CBS;0.5;0.879
ccH;0.862;0.946
cdh;0.819;0.926
CH;0.662;0.885
chorismate_bind;0.784;0.949
chromo;0.612;0.75
ChtBD;0.889;0.95
citrate_synt;0.796;0.944
cks;0.583;0.889
Colicin;0.873;0.944
Colicin_Pyocin;0.943;0.976
cox;0.657;0.853
COX2;0.387;0.973
COX3;0.647;0.956
cpa;0.892;0.963
cpn60_TCP1;0.552;0.787
CPS;0.61;0.787
CPSase_L_chain;0.664;0.903
cryst;0.128;0.767
csp;0.943;0.985
CUB;0.947;1.0
Cu_amine_oxid;0.867;0.932
Cu_bind_like;0.827;0.912
Cu_nir;0.985;1.0
cyclin;0.674;0.785
cyclo;0.739;0.973
Cyclodex_gly_tran;0.938;0.992
cys;0.687;0.876
Cys-protease-3C;0.795;0.954
cystatin;0.675;0.94
Cys_Met_Meta_PP;0.919;0.965
cyt3;0.734;0.915
