group_size;protein_length;runtime
3;50;0.01
6;50;0.05
12;50;0.19
24;50;0.73
3;52;0.01
6;52;0.05
12;52;0.21
24;52;0.82
3;71;0.03
6;71;0.12
12;71;0.47
24;71;1.81
3;76;0.04
6;76;0.14
12;76;0.56
24;76;2.13
3;81;0.04
6;81;0.17
12;81;0.64
24;81;2.48
3;94;0.06
6;94;0.24
12;94;0.91
24;94;3.68
3;108;0.08
6;108;0.34
12;108;1.24
24;108;4.8
3;115;0.1
6;115;0.38
12;115;1.46
24;115;5.56
3;123;0.11
6;123;0.42
12;123;1.63
24;123;6.59
3;143;0.15
6;143;0.61
12;143;2.29
24;143;9.03
3;173;0.23
6;173;0.9
12;173;3.4
24;173;13.57
3;195;0.29
6;195;1.17
12;195;4.5
24;195;17.39
3;226;0.39
6;226;1.58
12;226;6.21
24;226;23.73
3;227;0.4
6;227;1.61
12;227;6.2
24;227;24.02
3;266;0.56
6;266;2.24
12;266;8.63
24;266;33.51
3;280;0.65
6;280;2.56
12;280;9.74
24;280;37.42
3;316;0.81
6;316;3.22
12;316;12.42
24;316;48.21
3;317;0.81
6;317;3.25
12;317;12.52
24;317;48.65
3;429;1.51
6;429;6.0
12;429;23.04
24;429;89.07
3;442;1.59
6;442;6.35
12;442;24.41
24;442;94.65
3;449;1.63
6;449;6.54
12;449;25.18
24;449;97.66
3;462;1.74
6;462;6.97
12;462;26.81
24;462;103.8
3;696;4.02
6;696;16.15
12;696;62.43
24;696;241.17
