group;ratio_gapless;rmsd
group1;0.48;3.719
group10;0.041;11.108
group100;0.031;12.773
group101;0.18;8.36
group102;0.674;2.966
group103;0.559;4.693
group104;0.48;8.277
group105;0.081;7.64
group106;0.312;4.868
group107;0.433;4.397
group108;0.185;6.227
group109;0.186;12.841
group11;0.336;5.662
group110;0.071;12.126
group111;0.678;3.946
group112;0.307;6.513
group113;0.415;3.423
group114;0.355;5.572
group115;0.486;6.224
group116;0.008;15.973
group117;0.588;3.873
group118;0.398;3.291
group119;0.678;2.542
group12;0.578;3.99
group120;0.717;2.166
group121;0.58;3.759
group122;0.816;2.912
group123;0.05;12.72
group124;0.721;1.992
group125;0.165;14.609
group126;0.279;4.37
group127;0.782;1.743
group128;0.183;10.61
group129;0.583;5.195
group13;0.455;6.526
group130;0.348;5.468
group131;0.223;7.415
group132;0.932;1.226
group133;0.259;5.595
group134;0.802;2.115
group135;0.903;1.946
group136;0.399;5.758
group137;0.722;5.187
group138;0.17;4.234
group139;0.529;5.01
group14;0.024;10.976
group140;0.793;1.65
group141;0.669;4.775
group142;0.9;1.157
group143;0.138;8.658
group144;0.093;12.103
group145;0.0;15.054
group146;0.201;9.436
group147;0.524;4.657
group148;0.406;7.305
group149;0.275;6.709
group15;0.272;7.998
group150;0.937;2.181
group151;0.748;3.554
group152;0.543;3.428
group153;0.829;2.521
group154;0.425;4.235
group155;0.484;6.338
group156;0.628;3.817
group157;0.039;14.386
group158;0.202;7.636
group159;0.132;8.845
group16;0.463;6.644
group160;0.487;5.78
group161;0.176;10.201
group162;0.58;5.215
group163;0.535;6.175
group164;0.451;5.359
group165;0.166;13.444
group166;0.149;7.398
group167;0.306;3.583
group168;0.748;2.776
group169;0.347;8.265
group17;0.657;6.762
group170;0.26;10.226
group171;0.081;7.992
group172;0.261;7.242
group173;0.448;6.114
group174;0.756;2.563
group175;0.436;5.255
group176;0.423;6.326
group177;0.37;4.397
group178;0.571;6.51
group179;0.408;5.997
group18;0.791;2.925
group180;0.848;2.216
group181;0.276;5.359
group182;0.404;3.732
group183;0.07;9.537
group184;0.2;7.985
group185;0.758;2.772
group186;0.257;4.707
group187;0.091;8.142
group188;0.409;4.79
group189;0.483;8.529
group19;0.842;2.216
group190;0.046;9.483
group191;0.001;21.025
group192;0.511;3.597
group193;0.607;3.981
group194;0.347;9.229
group195;0.79;1.765
group196;0.218;5.268
group197;0.718;6.55
group198;0.168;6.331
group199;0.469;4.664
group2;0.523;11.569
group20;0.613;6.433
group200;0.867;2.141
group201;0.651;3.438
group202;0.647;3.145
group203;0.0;15.99
group204;0.558;6.914
group205;0.056;14.804
group206;0.052;13.235
group207;0.359;9.415
group208;0.787;3.125
group209;0.403;4.984
group21;0.589;4.985
group210;0.137;10.984
group211;0.414;5.594
group212;0.295;8.502
group213;0.572;3.501
group214;0.008;20.064
group215;0.241;6.937
group216;0.281;7.125
group217;0.023;11.249
group218;0.636;2.957
group219;0.777;3.572
group22;0.152;12.757
group220;0.705;4.669
group221;0.7;3.465
group222;0.719;3.047
group223;0.4;6.715
group224;0.388;5.739
group225;0.593;5.922
group226;0.581;3.818
group227;0.512;5.774
group228;0.615;5.588
group229;0.705;3.57
group23;0.741;2.613
group230;0.3;5.539
group231;0.898;2.055
group232;0.235;7.592
group233;0.967;1.207
group234;0.601;3.987
group235;0.208;9.375
group236;0.363;4.861
group237;0.055;13.54
group238;0.171;5.93
group239;0.38;5.115
group24;0.975;3.794
group240;0.575;5.393
group241;0.049;8.526
group242;0.0;22.974
group243;0.092;11.003
group244;0.735;3.002
group245;0.5;5.478
group246;0.536;5.069
group247;0.236;9.963
group248;0.349;7.142
group249;0.459;8.677
group25;0.543;4.005
group250;0.013;13.054
group251;0.266;7.92
group252;0.369;8.287
group253;0.689;3.873
group254;0.222;4.661
group255;0.474;5.847
group256;0.732;2.434
group257;0.03;11.854
group258;0.257;9.677
group259;0.54;4.658
group26;0.064;10.909
group260;0.425;5.471
group261;0.312;5.717
group262;0.6;3.32
group263;0.477;8.186
group264;0.082;9.801
group265;0.509;2.671
group266;0.149;9.296
group267;0.392;5.952
group268;0.886;2.063
group269;0.584;9.428
