group;ratio_gapless;rmsd
group1;0.068;3.614
group10;0.01;3.17
group100;0.045;3.465
group101;0.049;3.682
group102;0.476;1.982
group103;0.384;1.936
group104;0.214;2.209
group105;0.013;3.811
group106;0.202;2.554
group107;0.39;2.526
group108;0.046;3.217
group109;0.117;2.13
group11;0.212;2.846
group110;0.131;2.905
group111;0.49;2.136
group112;0.082;2.08
group113;0.151;1.711
group114;0.104;2.496
group115;0.312;2.605
group116;0.017;4.081
group117;0.588;1.72
group118;0.176;1.65
group119;0.531;1.686
group12;0.417;1.889
group120;0.485;1.871
group121;0.318;2.633
group122;0.66;2.347
group123;0.151;2.677
group124;0.693;1.251
group125;0.169;2.431
group126;0.073;2.459
group127;0.739;1.439
group128;0.057;3.111
group129;0.439;2.228
group13;0.255;2.321
group130;0.123;2.093
group131;0.084;2.686
group132;0.897;1.151
group133;0.046;3.353
group134;0.718;1.755
group135;0.815;1.749
group136;0.195;3.301
group137;0.567;2.353
group138;0.011;1.649
group139;0.296;1.67
group14;0.028;2.429
group140;0.688;1.415
group141;0.453;2.988
group142;0.9;1.058
group143;0.048;2.967
group144;0.092;2.423
group145;0.043;2.346
group146;0.137;3.386
group147;0.223;2.257
group148;0.267;2.82
group149;0.114;2.963
group15;0.156;2.598
group150;0.875;1.497
group151;0.656;0.712
group152;0.399;1.854
group153;0.686;2.09
group154;0.142;2.666
group155;0.276;2.914
group156;0.377;2.36
group157;0.026;3.259
group158;0.116;3.701
group159;0.034;3.035
group16;0.311;1.672
group160;0.177;2.305
group161;0.142;3.278
group162;0.433;2.93
group163;0.359;2.892
group164;0.329;3.517
group165;0.144;3.313
group166;0.013;2.775
group167;0.111;2.16
group168;0.598;2.123
group169;0.253;3.004
group17;0.449;2.374
group170;0.155;3.635
group171;0.038;3.733
group172;0.122;2.504
group173;0.105;2.685
group174;0.517;1.333
group175;0.247;3.437
group176;0.189;2.746
group177;0.183;2.582
group178;0.446;2.834
group179;0.351;2.884
group18;0.589;1.775
group180;0.849;1.117
group181;0.11;2.947
group182;0.157;2.347
group183;0.039;3.153
group184;0.079;3.282
group185;0.593;1.995
group186;0.092;2.885
group187;0.084;2.778
group188;0.15;3.243
group189;0.376;1.81
group19;0.783;1.882
group190;0.066;2.731
group191;0.003;2.917
group192;0.264;2.463
group193;0.459;3.559
group194;0.128;3.159
group195;0.697;1.504
group196;0.074;3.027
group197;0.323;3.262
group198;0.031;2.48
group199;0.268;2.539
group2;0.263;2.808
group20;0.398;2.138
group200;0.737;1.531
group201;0.491;3.007
group202;0.358;1.747
group203;0.009;3.211
group204;0.296;2.019
group205;0.006;2.967
group206;0.02;2.982
group207;0.252;3.192
group208;0.642;2.799
group209;0.169;3.329
group21;0.395;2.565
group210;0.054;3.23
group211;0.228;3.026
group212;0.087;3.539
group213;0.433;2.616
group214;0.018;3.063
group215;0.056;3.628
group216;0.122;3.401
group217;0.026;3.146
group218;0.442;2.261
group219;0.632;2.898
group22;0.064;1.807
group220;0.54;2.656
group221;0.652;2.582
group222;0.577;1.773
group223;0.346;3.179
group224;0.115;3.259
group225;0.325;3.045
group226;0.391;2.513
group227;0.368;3.364
group228;0.494;4.114
group229;0.456;2.107
group23;0.354;1.866
group230;0.127;3.741
group231;0.87;1.821
group232;0.205;5.081
group233;0.93;1.086
group234;0.386;2.803
group235;0.103;3.907
group236;0.152;4.671
group237;0.004;2.89
group238;0.064;2.743
group239;0.32;2.638
group24;0.697;2.679
group240;0.417;3.085
group241;0.055;3.511
group242;0.007;3.57
group243;0.073;2.874
group244;0.605;1.99
group245;0.256;2.167
group246;0.284;2.116
group247;0.151;2.768
group248;0.257;2.946
group249;0.295;2.712
group25;0.257;2.426
group250;0.038;3.205
group251;0.109;2.789
group252;0.205;3.64
group253;0.533;2.095
group254;0.08;2.864
group255;0.322;4.329
group256;0.438;2.022
group257;0.035;4.679
group258;0.14;2.617
group259;0.197;2.471
group26;0.063;2.52
group260;0.164;2.623
group261;0.046;2.944
group262;0.211;2.31
group263;0.195;2.933
group264;0.064;2.404
group265;0.364;1.978
group266;0.05;2.541
group267;0.245;2.887
group268;0.873;1.623
group269;0.43;1.313
group27;0.032;3.478
group270;0.75;1.742
group271;0.169;2.226
group272;0.277;1.652
group273;0.433;1.312
group274;0.118;2.421
group275;0.254;2.254
group276;0.297;2.039
group277;0.507;2.083
group278;0.068;2.273
group279;0.297;3.103
group28;0.101;2.611
group280;0.384;3.461
group281;0.424;2.095
group282;0.793;0.982
group283;0.096;2.714
group284;0.181;2.346
group285;0.438;1.993
group286;0.527;2.534
group287;0.46;2.573
group288;0.138;3.105
group289;0.09;3.369
