family;ratio_gapless;ratio_homstrad
AAA;0.293;0.342
aabp;0.815;0.847
aadh;0.311;0.372
aat;0.385;0.362
ABC_tran;0.288;0.221
ace;0.455;0.438
Acetyltransf;0.241;0.321
acid_phosphat;0.563;0.709
ACPS;0.462;0.57
actin;0.446;0.458
adeno_fiber;0.822;0.869
Adenylsucc_synt;0.929;0.964
ADF;0.728;0.916
adh;0.906;0.913
adk;0.226;0.14
AhpC-TSA;0.575;0.803
ALBUMIN;0.733;0.786
aldedh;0.626;0.648
aldose;0.862;0.964
aldosered;0.405;0.498
Ald_Xan_dh_1;0.475;0.683
Ald_Xan_dh_2;0.541;0.613
alpha-amylase;0.067;0.0
alpha-amylase_C;0.06;0.102
alpha-amylase_NC;0.064;0.091
ANK;0.845;0.892
annexin;0.894;0.936
Antifreeze;0.853;0.969
apbact;0.616;0.589
AP_endonuc_2;0.632;0.696
ARM;0.708;0.747
asp;0.41;0.452
asprs;0.612;0.668
Asp_Glu_race_D;0.517;0.517
ATP-gua_Ptrans;0.771;0.841
ATP-synt;0.661;0.813
B;0.571;0.875
Bacterial_PQQ;0.778;0.867
Bac_DNA_binding;0.421;0.552
bac_luciferase;0.414;0.412
Bac_rhodopsin;0.824;0.886
Band_41_M;0.787;0.84
Band_41_N;0.794;0.844
Band_41_NME;0.799;0.823
Bcl-2;0.544;0.708
Binary_toxA;0.695;0.691
biotin_lipoyl;0.368;0.448
BIR;0.3;0.714
blm;0.699;0.786
blmb;0.279;0.32
bowman;0.072;0.0
bromodomain;0.602;0.932
bv;0.173;0.125
B_lectin;0.982;1.0
C1;0.605;0.804
C2;0.771;0.856
cah;0.517;0.433
cat3;0.452;0.393
CBD_3;0.673;0.712
cbm12;0.5;0.641
CBM_20;0.492;0.452
cbp;0.085;0.0
CBS;0.244;0.333
ccH;0.8;0.857
cdh;0.713;0.804
CH;0.564;0.649
chorismate_bind;0.642;0.645
chromo;0.426;0.694
ChtBD;0.755;0.85
citrate_synt;0.715;0.83
cks;0.407;0.909
cox;0.423;0.399
COX2;0.279;0.237
COX3;0.501;0.556
cpa;0.767;0.785
cpn60_TCP1;0.401;0.393
CPS;0.476;0.67
CPSase_L_chain;0.534;0.589
cryst;0.108;0.662
csp;0.943;0.985
CUB;0.883;0.943
Cu_amine_oxid;0.789;0.799
Cu_bind_like;0.791;0.857
Cu_nir;0.982;1.0
cyclin;0.559;0.735
cyclo;0.521;0.624
Cyclodex_gly_tran;0.846;0.873
Cyclotide;0.447;0.714
cys;0.394;0.38
Cys-protease-3C;0.762;0.769
cystatin;0.57;0.802
Cys_Met_Meta_PP;0.842;0.872
cyt3;0.444;0.505
cyt5;0.456;0.574
cytb;0.532;0.707
cytc;0.383;0.351
cyto;0.853;0.903
cytprime;0.773;0.765
DAHP_synth_1;0.555;0.7
dCMP_cyt_deam;0.556;0.8
DEAD;0.222;0.276
DEATH;0.259;0.263
dhfr;0.692;0.729
DHH;0.943;0.945
DHHA2;0.936;0.983
DHOdehase;0.506;0.554
DISIN;0.299;0.514
DMRL_synthase;0.566;0.635
DNA_pol3_beta;0.658;0.769
DNA_PPF;0.511;0.62
dpo1;0.518;0.451
dsrm;0.538;0.766
DUF170;0.533;0.643
dutpase;0.842;0.906
E2_C;0.732;0.845
ech;0.763;0.913
EF1BD;0.774;0.841
EFTU_2;0.573;0.733
EFTU_C;0.869;1.0
EF_TS;0.226;0.212
egf;0.157;0.0
EGF_Lam;0.566;0.628
ENTH;0.289;0.863
Epimerase;0.526;0.642
ets;0.614;0.852
Extradiol_dioxy;0.782;0.857
fabp;0.449;0.634
FAD-oxidase_C;0.253;0.259
FAD-oxidase_NC;0.329;0.367
FAD_binding_4;0.403;0.525
Fapy_DNA_glyco;0.78;0.776
fbpase;0.804;0.881
fer2;0.251;0.25
ferritin;0.694;0.747
fibrinogen_C;0.614;0.68
Filamin;0.526;0.65
fkbp;0.805;0.86
flav;0.436;0.684
FN1;0.712;0.833
fn3;0.179;0.014
Fork_head;0.591;0.8
GAF;0.531;0.752
GAL4;0.623;0.939
galpha;0.865;0.901
GATA;0.467;0.93
GATase;0.616;0.728
GATase_2;0.285;0.86
GBP_PSP;0.459;0.294
GEL;0.345;0.256
ghf1;0.16;0.558
ghf10;0.673;0.663
ghf11;0.753;0.776
ghf14;0.621;0.792
ghf18;0.397;0.467
ghf22;0.569;0.714
ghf33;0.424;0.434
ghf34;0.899;0.92
ghf5;0.28;0.332
ghf6;0.577;0.607
ghf7;0.662;0.619
GLA;0.5;0.719
glnasn;0.815;0.832
gluts;0.461;0.462
Glyco_hydro_18;0.52;0.589
Glyco_hydro_18_D1;0.519;0.568
Glyco_hydro_18_D2;0.526;0.417
Glyco_hydro_2;0.436;0.427
gpdh;0.747;0.803
gpr;0.875;0.932
grs;0.116;0.086
gtp;0.369;0.34
Haloperoxidase;0.387;0.398
HATPase_c;0.236;0.187
helicase_C;0.309;0.478
helicase_NC;0.321;0.244
hemopexin;0.713;0.785
hexapep;0.434;0.42
hexokinase;0.89;0.926
HGTP_anticodon;0.529;0.604
hip;0.399;0.035
histone;0.496;0.576
hla;1.0;1.0
HLH;0.336;0.451
HMA;0.895;0.956
HMG_box;0.508;0.766
hom;0.297;0.265
hormone_rec;0.399;0.513
hr;0.561;0.688
HTH_AraC;0.527;0.812
Huristasin;0.316;0.0
icd;0.662;0.7
igC1;0.61;0.756
igcon;0.369;0.419
igI;0.245;0.233
igps;0.577;0.71
igV;0.228;0.253
igvar-h;0.283;0.591
igvar-l;0.163;0.287
il8;0.082;0.235
inositol_P;0.41;0.502
ins;0.336;0.405
int;0.55;0.697
intb;0.513;0.513
Invasin;0.752;0.795
KAS;0.535;0.482
kazal;0.48;0.188
kex;0.651;0.728
kinase;0.121;0.111
KISc;0.585;0.667
kringle;0.514;0.64
kunitz;0.477;0.5
lacI;0.61;0.936
lamb;0.677;0.787
laminin_G;0.538;0.664
ldh;0.297;0.212
LDLa;0.621;0.75
leukocidin;0.574;0.644
Levi_coat;0.671;0.625
ligase-CoA;0.58;0.634
LIM;0.448;0.893
lipase;0.731;0.767
Lipase_3;0.854;0.893
lipocalin;0.192;0.103
LMWPc;0.933;0.942
LRR;0.507;0.713
lta;0.929;0.967
ltb;0.81;0.809
ltn;0.359;0.382
Lum_binding;0.592;0.885
LuxS;0.696;0.726
lyase_1;0.478;0.545
MCR_alpha;0.952;0.975
MCR_alpha_N;0.916;0.958
MCR_alpha_NC;0.934;0.959
MCR_beta;0.943;1.0
MCR_beta_N;0.973;0.995
MCR_beta_NC;0.956;0.995
MCR_gamma;0.931;0.963
mdd;0.94;0.958
Methyltransf_1;0.578;0.619
MHC_II_alpha_NC;0.849;0.891
MHC_II_beta_NC;0.699;0.822
MHC_II_C;0.556;0.567
MHC_II_N;0.099;0.0
MIF;0.966;0.991
mle;0.822;0.837
mmp;0.742;0.8
MM_CoA_mutase;0.427;0.643
MoCF_biosynth;0.464;0.52
mofe;0.427;0.452
molybdopterin;0.501;0.564
msb;0.206;0.318
mthina;1.0;1.0
mthinb;0.73;0.741
Mur_ligase_C;0.561;0.535
myb_DNA-binding;0.394;0.512
mycin;0.849;0.85
NADHdh_2;0.728;0.961
ndk;0.856;0.979
neurotox;0.52;0.5
ngf;0.805;0.874
NiFeSe_Hases;0.958;0.973
Nitroreductase;0.547;0.781
NO_synthase;0.527;0.791
NTP_transferase;0.606;0.78
NTP_transf_2_2;0.502;0.78
oat;0.643;0.628
Orn_DAP_Arg_deC;0.593;0.782
OTCace;0.575;0.715
oxidored_q6;0.78;0.777
P;0.6;0.867
p450;0.198;0.092
parv;0.84;0.867
PAS;0.562;0.677
PA_phosphatase;0.604;0.644
pdc;0.637;0.648
PDZ;0.529;0.617
pec_lyase;0.393;0.321
PEP-utilizers;0.516;0.612
Peptidase_M24;0.457;0.568
Peptidase_S21;0.706;0.719
peroxidase;0.442;0.667
PGAM;0.64;0.867
pgk;0.847;0.905
PH;0.096;0.0
Phage_integrase;0.333;0.59
phc;0.242;0.03
phero;0.729;0.743
phoslip;0.42;0.752
phs;0.811;0.877
pilin;0.299;0.395
PK;0.742;0.798
plantltp;0.474;0.486
planttoxin;0.778;0.833
pnp;0.623;0.637
porin;0.453;0.43
pot;0.723;0.8
pp;0.344;0.182
ppase;0.559;0.778
profilin;0.787;0.787
Propep_M14;0.733;0.835
proteasome;0.137;0.0
protg;0.573;0.745
Pro_CA;0.575;0.77
prt;0.492;0.698
PSI_PsaE;0.709;0.836
PTB;0.489;0.45
ptpase;0.771;0.826
recombinase;0.461;0.6
reductases;0.331;0.266
rep;0.59;0.823
response_reg;0.195;0.419
RGS;0.718;0.779
Rhodanese;0.256;0.257
rhv;0.147;0.534
Ribosomal_L1;0.365;0.438
Ribosomal_L6_D;0.515;0.618
Ribosomal_L7Ae;0.645;0.796
ricin;0.643;0.695
RING;0.12;0.0
rnase;0.853;0.909
rnasemam;0.498;0.346
RNase_HII;0.795;0.82
rnh;0.582;0.681
rnr;0.702;0.763
RRF;0.655;0.761
rrm;0.106;0.049
rub;0.55;0.409
RuBisCO_large;0.506;0.587
RuBisCO_large_N;0.398;0.274
RuBisCO_large_NC;0.458;0.485
RuBisCO_small;0.383;0.257
rvp;0.662;0.714
S4;0.959;0.979
SAP;0.508;0.727
SBP_bacterial_1;0.737;0.806
scorptoxin;0.479;0.526
sdr;0.199;0.121
seatoxin;0.039;0.625
serbact;0.707;0.73
sermam;0.142;0.184
serpin;0.563;0.679
sh2;0.328;0.315
sh3;0.126;0.34
slectin;0.773;0.778
Sm;0.534;0.619
sodcu;0.575;0.609
sodfe;0.408;0.22
squash;0.543;0.64
SRF-TF;0.553;0.984
Stap_Strp_toxin;0.398;0.29
sti;0.536;0.5
subt;0.235;0.207
sugbp;0.693;0.795
Sulfotransfer;0.289;0.238
svmp;0.966;0.995
S_100;0.314;0.516
tbpc;0.863;0.949
tgfb;0.149;0.0
THAUMATIN;0.892;0.925
thionin;0.938;0.956
thiored;0.269;0.242
TIG;0.762;0.812
TIL;0.4;0.333
tim;0.789;0.798
tln;0.658;0.637
tms;0.588;0.7
TMV_coat;0.823;0.94
TNF;0.616;0.594
Toprim;0.443;0.474
toxin;0.134;0.125
toxin_2;0.088;0.0
TPR;0.311;0.393
transketolase_C;0.592;0.655
transketolase_PC;0.586;0.602
transket_pyr;0.582;0.66
TRANSTHYRETIN;0.95;1.0
trfl;0.142;0.643
tRNA-synt_1;0.484;0.599
tRNA-synt_2b;0.317;0.363
tRNA_bind;0.579;0.557
tryp_alpha_amyl;0.662;0.765
TyrKc;0.456;0.445
UBQ;0.948;1.0
uce;0.224;0.322
UcrQ;0.689;0.945
UCR_TM;0.648;0.78
ung;0.873;0.944
UPF0076;0.946;0.967
WW;0.373;0.5
xia;0.916;0.94
Yers_vir_YopE;0.536;0.533
YgbB;0.639;0.698
zf-CCHH;0.291;0.12
